s,label_count,labels
http://purl.obolibrary.org/obo/EUPATH_0001004,2,codebookValues|codebookValues
http://purl.obolibrary.org/obo/EUPATH_0001001,2,dataFile|dataFile
http://purl.obolibrary.org/obo/EUPATH_0001003,2,codebookDescription|codebookDescription
http://purl.obolibrary.org/obo/EUPATH_0001002,2,category|category
http://purl.obolibrary.org/obo/EUPATH_0000274,2,display order|displayOrder
