ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	output	input
ID	A rdfs:label	A editor preferred term	AL has curation status	A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A example of usage SPLIT=|	A term editor SPLIT=|	A editor note SPLIT=|	A curator note SPLIT=|	A ontology term requester	A term tracker item	CLASS_TYPE	C %	C 'has_specified_output' some %	C 'has_specified_input' some %
EUPATH:0000455	proportion mapped reads				a data item that is about a sequencing assay and is the ratio of the count of mapped reads to the total count of reads	VEuPathDB		John Judkins						data item		
